Code;Description;OrgCode
166;PIN Issue/Re-issue of Debit Card;DPOST
167;Payment of Wages to MNREGA workers;DPOST
168;Others;DPOST
169;Encashment of Certificates at office of issue;DPOST
170;Encashment of Certificates at other office;DPOST
171;Issue of Certificates;DPOST
172;Issue of Dublicate Certificates Application given at office of issue;DPOST
173;Issue of Dublicate Certificates Application given at other office;DPOST
174;Transfer of Certificates Application given at Other Post Office;DPOST
175;Transfer of Certificates Application given at Post Office of Registration;DPOST
176;Others;DPOST
177;Encashment of Certificates at office of issue;DPOST
178;Encashment of Certificates at other office;DPOST
179;Issue of Certificates;DPOST
180;Issue of Dublicate Certificates Application given at office of issue;DPOST
181;Issue of Dublicate Certificates Application given at other office;DPOST
182;Transfer of Certificates Application given at Other Post Office;DPOST
183;Transfer of Certificates Application given at Post Office of Registration;DPOST
184;Others;DPOST
185;Non-encashement;DPOST
186;Extension of Validity;DPOST
187;Non-Availability;DPOST
188;Postal Life Insurance;DPOST
189;Rural Postal Life Insurance;DPOST
190;Change of Address;DPOST
191;Change of Nomination;DPOST
192;Conversion of Policy;DPOST
193;Delay/ non-receipt of acceptance letter/PR book/Policy bond;DPOST
194;Issue of acceptance passbook;DPOST
195;Issue of policy bond;DPOST
196;Loan of policies;DPOST
197;Non-conversion/Delay in conversion;DPOST
198;Non-payment/Delay in payment of death claim;DPOST
199;Non-payment/Delay in payment of loan amount;DPOST
200;Non-payment/Delay in payment of maturity value;DPOST
201;Non-payment/Delay in payment of surrender value;DPOST
202;Non-payment/Delay in payment of survival benefits;DPOST
203;Non-revival/Delay in revival;DPOST
204;Non-transfer/Delay in transfer;DPOST
205;Paid up Value;DPOST
206;Revival of Policy;DPOST
207;Settlement of claim on death with nomination;DPOST
208;Settlement of claim on maturity;DPOST
209;Others;DPOST
210;Change of Address;DPOST
211;Change of Nomination;DPOST
212;Conversion of Policy;DPOST
213;Delay/ non-receipt of acceptance letter/PR book/Policy bond;DPOST
214;Issue of acceptance passbook;DPOST
215;Issue of policy bond;DPOST
216;Loan of policies;DPOST
217;Non-conversion/Delay in conversion;DPOST
218;Non-payment/Delay in payment of death claim;DPOST
219;Non-payment/Delay in payment of loan amount;DPOST
220;Non-payment/Delay in payment of maturity value;DPOST
221;Non-payment/Delay in payment of surrender value;DPOST
222;Non-payment/Delay in payment of survival benefits;DPOST
223;Non-revival/Delay in revival;DPOST
224;Non-transfer/Delay in transfer;DPOST
225;Paid up Value;DPOST
226;Revival of Policy;DPOST
227;Settlement of claim on death with nomination;DPOST
228;Settlement of claim on maturity;DPOST
229;Others;DPOST
230;PF/ Gratuity;DPOST
231;Compassionate appointment;DPOST
232;Removed/Retrenched employee;DPOST
233;GDS matters;DPOST
234;Departmental exams;DPOST
235;Recruitment/Exam related issues;DPOST
236;Others;DPOST
237;Allegation of  corruption;DPOST
238;Misbehavior of staff;DPOST
239;Others;DPOST
240;Minorities;DPOST
241;Women;DPOST
242;SC/ST/OBC;DPOST
243;Differently Abled;DPOST
244;Others;DPOST
245;Gaps in service;DPOST
246;Gaps in service;DPOST
247;Policy matters;DPOST
248;Gaps in service;DPOST
249;Increase of Rent;DPOST
250;Vacation of Building;DPOST
251;Banking;DEABD
252;Bank Locker Related;DEABD
253;Deficiency in Customer Service Related;DEABD
254;Education Loans Related;DEABD
255;Housing Loan Related;DEABD
256;Non Banking Finance Company (NBFC) other than Housing Finance Companies Related;DEABD
257;Pradhan Mantri Jan Dhan Yojna (PMJDY) Related;DEABD
258;Pradhan Mantri Mudra Yojana (PMMY) Related;DEABD
259;Agricultural Matters Related;DEABD
260;Credit/Debit/ATM Cards Related;DEABD
261;Service Charges Related;DEABD
262;Government sponsored Schemes Related;DEABD
263;Fraud;DEABD
264;Mobile Banking;DEABD
265;Misappropriation;DEABD
266;Misbehaviour/Harrassment/Corruption by Bank Staff;DEABD
267;One Time Settlement of Loan;DEABD
268;Opening of New Branches;DEABD
269;Pradhan Mantri Jeevan Jyoti Yojna;DEABD
270;Pradhan Mantri Jeevan Suraksha Yojana;DEABD
271;Recruitment Related;DEABD
272;Service Matter Related;DEABD
273;Pension/Retirement Benefits Related;DEABD
274;Stand Up India Related;DEABD
275;Vacation of Premises;DEABD
276;Miscellaneous/Others;DEABD
277;Non-availability of locker;DEABD
278;Demand of Fixed Deposit;DEABD
279;Problem in Locker operation;DEABD
280;Unauthorised break opening of locker;DEABD
281;Others;DEABD
282;Acceptance of Cash;DEABD
283;Issue/Payment of Draft/Banker Cheque;DEABD
284;Delay in Service;DEABD
285;Non-adherance to timing of opening/closing of Branch;DEABD
286;Frequent Failure of Banks server;DEABD
287;Non-opening/delay in opening of new accounts;DEABD
288;Non settlement/delay in settlement of Deceased Account;DEABD
289;Non-transfer/Delay in transfer of accounts from one office to another;DEABD
290;Non-payment/Delay in payment of Fixed/Term Deposit;DEABD
291;Others;DEABD
292;Non-sanctioning of Loan;DEABD
293;Delay in sanction of Loan;DEABD
294;Demand of Collateral Security;DEABD
295;Others;DEABD
296;Short Sanctioning of Loan;DEABD
297;Non-receipt of Subsidy;DEABD
298;Related to Banks;DEABD
299;Related to Housing Finance Companies;DEABD
300;Non-sanctioning of Loan;DEABD
301;Demand of Collateral Security;DEABD
302;Short Sanctioning of Loan;DEABD
303;Non-receipt of Subsidy;DEABD
304;Processing Charges related;DEABD
305;Others;DEABD
306;Delay/Non-opening of Account;DEABD
307;Delay in Settlement of Death Claim;DEABD
308;Levy of Service Charges;DEABD
309;Non-issue of Rupay/ATM card;DEABD
310;Non-sanctioning of OD Limit;DEABD
311;Others;DEABD
312;Delay / Non-sanctioning of Loan;DEABD
313;Demand of Coollateral Security;DEABD
314;Others;DEABD
315;Delay/Non-sanctioning of Loan;DEABD
316;Waiver of Agricultural Loan;DEABD
317;Fasal Bima Yojana Related;DEABD
318;Others;DEABD
319;Delay/Non-reversal of failed transactions;DEABD
320;Non-functioning of ATM;DEABD
321;Levy of Service Charges;DEABD
322;Levy of Penal Interest;DEABD
323;Non-issuance of Credit/Debit/ATM cards;DEABD
324;ATM/Credit Card Frauds;DEABD
325;Non-issuance of ATM pin;DEABD
326;Others;DEABD
327;Non-maintenance of Minimum Balance;DEABD
328;Loan processing Charges;DEABD
329;Annual Maintenance charges on Credit/Debit/ATM cards;DEABD
330;Others;DEABD
331;Prime Minister Rojgar Yojana;DEABD
332;State Government Employment Schemes;DEABD
333;Prime Minister Awas Yojana;DEABD
334;Others;DEABD
335;Grievance against Bank;DEABD
336;Grievance against Insurance Company;DEABD
337;Grievance against Bank;DEABD
338;Grievance against Insurance Company;DEABD
339;Non-commencement of Pesnion/Family Pension;DEABD
340;Non-submission of Life Certificate;DEABD
341;Non-payment of revised pension/arrears;DEABD
342;Non-sanction of Pension Loan;DEABD
343;Delay/Non-transfer of pension Account;DEABD
344;Non-restoration of Commuted Pension;DEABD
345;Less payment of Pension;DEABD
346;Excess Recovery of Pension;DEABD
347;Others;DEABD
348;Delay/Non-sanctioning of Loan;DEABD
349;Demand of Collateral Security;DEABD
350;Others;DEABD
351;Non-renewal of Lease Agreement;DEABD
352;Non-vacation of premises;DEABD
353;Insurance;DEAID
354;Allegation on Corruption/Malpractice;DEAID
355;Deficiency in Customer Service Related;DEAID
356;Fraud;DEAID
357;Agents and Surveyors Related;DEAID
358;Misrepresentation by Agents;DEAID
359;Non-settlement/Delay in Settlement/Less Settlement of Claims;DEAID
360;Pradhan Mantri Vaya Vandana Yojana;DEAID
361;Pradhan Mantri Suraksha Bima Yojna;DEAID
362;Pradhan Mantri Jeevan Jyoti Bima Yojana;DEAID
363;Service Matters Related;DEAID
364;Pension/Retirement Benefits Related;DEAID
365;Miscellaneous/Others;DEAID
366;Non-payment/Delay in payment of Compensations/Refunds;DEAID
367;Delay in transfer of Policy;DEAID
368;Haraasment/Misbehaviour/Non-response from Staff;DEAID
369;Non receipt of policy bond;DEAID
370;Others;DEAID
371;Non-renewal of licence;DEAID
372;Non-payment of gratuity;DEAID
373;Non-payment/delay in payment of Commission;DEAID
374;Others;DEAID
375;Payment received from the customer but not deposited or deposited with delay in Insurance Company;DEAID
376;Mis-selling of Policy;DEAID
377;Others;DEAID
378;Life Insurance Claim;DEAID
379;Non-life/General Insurance Claim;DEAID
380;Non-payment of penal interest of dealyed period;DEAID
381;Annuity Claim;DEAID
382;Accidental Claim;DEAID
383;Fasal Bima Yojana Related;DEAID
384;Others;DEAID
385;Grievance against Bank;DEAID
386;Grievance against Insurance Company;DEAID
387;Grievance against Bank;DEAID
388;Grievance against Insurance Company;DEAID
389;Non-commencement of Pesnion/Family Pension;DEAID
390;Non-submission of Life Certificate;DEAID
391;Non-payment of revised pension/arrears;DEAID
392;Non-sanction of Pension Loan;DEAID
393;Delay/Non-transfer of pension Account;DEAID
394;Non-restoration of Commuted Pension;DEAID
395;Less payment of Pension;DEAID
396;Excess Recovery of Pension;DEAID
397;Others;DEAID
398;School Education;DOSEL
399;Admission Related;DOSEL
400;Service Matter/Pension Related;DOSEL
401;Entrance Exam and Results Related;DOSEL
402;Degree/Certificate Related;DOSEL
403;Mid Day Meal Related;DOSEL
404;National Award for Teachers (NAT) Related;DOSEL
405;National Bal Bhawan (NBB) Related;DOSEL
406;National Foundation for Teacher Welfare (NFTW) Related;DOSEL
407;Health & Nutrition Related;DOSEL
408;Digital Initiative & ICT Components Related;DOSEL
409;Samagra Shiksha - 1;DOSEL
410;Adult Education and Admin.;DOSEL
411;Samagra Shiksha - 2;DOSEL
412;Statistics;DOSEL
413;Others/Misc;DOSEL
414;KVS;DOSEL
415;NVS;DOSEL
416;CBSE Affiliated;DOSEL
417;NCERT;DOSEL
418;CTSA;DOSEL
419;NIOS;DOSEL
420;All School Boards;DOSEL
421;Matters relating to UT;DOSEL
422;Matters relating to Private Schools;DOSEL
424;State Government Schools;DOSEL
425;Others;DOSEL
426;Delayed Salary Payment;DOSEL
427;Appointment/Resignation Related;DOSEL
428;Transfer Related;DOSEL
429;Promotion Related;DOSEL
430;Corruption Related;DOSEL
431;Harrasment Related;DOSEL
432;Pension Related (PPO No.);DOSEL
433;Others;DOSEL
434;CBSE/CBSE Affiliated;DOSEL
435;KVS;DOSEL
436;NIOS;DOSEL
437;NVS;DOSEL
438;State Government Schools;DOSEL
439;Public/Pvt. Schools;DOSEL
440;NCERT;DOSEL
441;Others;DOSEL
442;CBSE/CBSE Affiliated;DOSEL
443;KVS;DOSEL
444;NIOS;DOSEL
445;NVS;DOSEL
446;State Government Schools;DOSEL
447;Public/Pvt. Schools;DOSEL
448;NCERT;DOSEL
449;Others;DOSEL
450;CBSE/CBSE Affiliated;DOSEL
451;KVS;DOSEL
452;NIOS;DOSEL
453;NVS;DOSEL
454;State Government Schools;DOSEL
455;Public/Pvt. Schools;DOSEL
456;NCERT;DOSEL
457;Others;DOSEL
458;CBSE/CBSE Affiliated;DOSEL
459;KVS;DOSEL
460;NIOS;DOSEL
461;NVS;DOSEL
462;State Government Schools;DOSEL
463;Public/Pvt. Schools;DOSEL
464;NCERT;DOSEL
465;Others;DOSEL
466;CBSE/CBSE Affiliated;DOSEL
467;KVS;DOSEL
468;NIOS;DOSEL
469;NVS;DOSEL
470;State Government Schools;DOSEL
471;Public/Pvt. Schools;DOSEL
472;NCERT;DOSEL
473;Others;DOSEL
474;CBSE/CBSE Affiliated;DOSEL
475;KVS;DOSEL
476;NIOS;DOSEL
477;NVS;DOSEL
478;State Government Schools;DOSEL
479;Public/Pvt. Schools;DOSEL
480;NCERT;DOSEL
481;Others;DOSEL
482;CBSE/CBSE Affiliated;DOSEL
483;KVS;DOSEL
484;NIOS;DOSEL
485;NVS;DOSEL
486;State Government Schools;DOSEL
487;Public/Pvt. Schools;DOSEL
488;NCERT;DOSEL
489;Others;DOSEL
490;Hall ticket not received;DOSEL
491;Results not out;DOSEL
492;Board Exam Re-evaluation;DOSEL
493;Others;DOSEL
494;CBSE/CBSE Affiliated;DOSEL
495;KVS;DOSEL
496;NIOS;DOSEL
497;NVS;DOSEL
498;State Government Schools;DOSEL
499;Public/Pvt. Schools;DOSEL
500;Others;DOSEL
501;CBSE/CBSE Affiliated;DOSEL
502;KVS;DOSEL
503;NIOS;DOSEL
504;NVS;DOSEL
505;State Government Schools;DOSEL
506;Public/Pvt. Schools;DOSEL
507;Others;DOSEL
508;CBSE/CBSE Affiliated;DOSEL
509;KVS;DOSEL
510;NIOS;DOSEL
511;NVS;DOSEL
512;State Government Schools;DOSEL
513;Public/Pvt. Schools;DOSEL
514;Others;DOSEL
515;Certificate not got on time;DOSEL
516;Transfer Certificate Related;DOSEL
517;Change in details in certificates;DOSEL
518;Results Delayed;DOSEL
519;Others;DOSEL
520;CBSE/CBSE Affiliated;DOSEL
521;KVS;DOSEL
522;NIOS;DOSEL
523;NVS;DOSEL
524;State Government Schools;DOSEL
525;Public/Pvt. Schools;DOSEL
526;Others;DOSEL
527;CBSE/CBSE Affiliated;DOSEL
528;KVS;DOSEL
529;NIOS;DOSEL
530;NVS;DOSEL
531;State Government Schools;DOSEL
532;Public/Pvt. Schools;DOSEL
533;Others;DOSEL
534;CBSE/CBSE Affiliated;DOSEL
535;KVS;DOSEL
536;NIOS;DOSEL
537;NVS;DOSEL
538;State Government Schools;DOSEL
539;Public/Pvt. Schools;DOSEL
540;Others;DOSEL
541;CBSE/CBSE Affiliated;DOSEL
542;KVS;DOSEL
543;NIOS;DOSEL
544;NVS;DOSEL
545;State Government Schools;DOSEL
546;Public/Pvt. Schools;DOSEL
547;Others;DOSEL
548;Cook cum Helper;DOSEL
549;Housekeeping;DOSEL
550;Infrastructure;DOSEL
551;Others;DOSEL
552;Economic Analysis;DOSEL
553;Resource Allocation for Education;DOSEL
554;Expenditure on Education;DOSEL
555;Operation Digital Board;DOSEL
556;All Digital Initiatives;DOSEL
557;ICT Component of Samagra Shiksha;DOSEL
558;Coordination;DOSEL
559;Perfotmance Grading Index;DOSEL
560;UDISE+;DOSEL
561;DIKSHA;DOSEL
562;Data related in School Education;DOSEL
563;UNESCO;DOSEL
564;NIC;DOSEL
565;Others;DOSEL
566;Early Childhood Education (ECE) / Pre- Primary;DOSEL
567;Promotion of Sports/Games/Play;DOSEL
568;Promotion of Reading/Libraries;DOSEL
569;Yoga in schools;DOSEL
570;Life Skills;DOSEL
571;Inclusive Education/Childern with Special Needs (CWSN);DOSEL
572;Equity;DOSEL
573;Experiential Learning including Rangotsav, Langauage Festival etc;DOSEL
574;Adolescent Education;DOSEL
575;Mahila Samakhya & Also;DOSEL
576;Scheme for providing Quality Education in Madrasas (SPQEM);DOSEL
577;Scheme for Infrastructure Development in Minority Institutions;DOSEL
578;National Means-cum-Merit Scholarship Scheme;DOSEL
579;National Scheme for incentive to Girl Child for Secondary Education;DOSEL
580;Others;DOSEL
581;Release of grants of PLA and Saakshar Bharat Scheme, Directorate of Adult Education (DAE), policy / administrative matters of TSG-NLMA (Ed.CIL) including release of funds to Ed.CIL for TSG-NLMA, Administrative Matters of DAE & NLMA.;DOSEL
582;Annual Plan and Budget of Adult Education Bureau, Release of grants of PLA and Saakshar Bharat Scheme.;DOSEL
583;Directorate of Adult Education (DAE);DOSEL
584;Release of grants, administrative matters and all policy matters in respect of Padhna Likhna Abhiyan (PLA) and Saakshar Bharat scheme.;DOSEL
585;Budget of Samagra Shiksha Scheme, BE/RE, Outcome Budget, Expenditure SSA;DOSEL
586;PFMS Audit-SSA-RMSA, QPR, Finance and Digital initiative, Model Schools;DOSEL
587;Curriculum, Pedagogy, CCE, Text Books. Uniforms, NIEPA, DBT, UIDAI;DOSEL
588;PISA, ICC, External funding and Joint Review Missions, National Achievement Survey [NAS], School Based Assessment, NCERT, UIDA;DOSEL
589;RTE Act;DOSEL
590;School Insfrastructure, Civil Work, Swachh Vidyalaya, School Grant, Swachta Action Plan [Ministry of Drinking Water and Sanitation, Unicef-WASH Unicef-Education];DOSEL
591;[SCERT, DITS, BRCs, CRCs, CSSTE] Teaher Education;DOSEL
592;NIOS, NITE;DOSEL
593;All aspect of Universal Access including residental schools/hostels Policy and planning regarding Samagra Shiksha Scheme, out of School Children/EWS, Shagunotsav;DOSEL
594;Vocational Education and Skill Development, Appointment of Language Teachers (ALT) Scheme;DOSEL
595;Community Mobilisation including SMC/SMDC Rashtriya Avishkar Abhyan, Monitoring and Evaluation;DOSEL
596;Coordination work of all Uts;DOSEL
597;Coordination work of SS-II Bureau;DOSEL
598;National Mean-cum-Merit Scholarship Scheme (NMMSS);DOSEL
599;National Scheme of incentive to Girls for Secondary Education (NSIGSE);DOSEL
600;Financial;DOSEL
601;Programmes/Schemes;DOSEL
602;Budget related issues (BE/RE/Exp.) of the programmes/schemes;DOSEL
605;Statistics related to School Education;DOSEL
606;Supply of data to UNESCO;DOSEL
607;Supply of data to Institute of Statistics;DOSEL
608;Supply of data to International Agencies;DOSEL
609;Sustainable Development Goals (SDGs);DOSEL
610;Index of Service (Education);DOSEL
611;Production;DOSEL
612;Population, Projection;DOSEL
613;Aspirational Districts;DOSEL
614;Education For All (EFA);DOSEL
615;Others;DOSEL
616;Road Transport and Highways;MORTH
617;Employee Related/Services Related;MORTH
618;Pension Related;MORTH
619;Construction & Maintenance of National Highways;MORTH
620;Land Acquisition;MORTH
621;User Free/Toll Related;MORTH
622;Road Transport Related;MORTH
623;Policiy Related;MORTH
624;Suggestions/Miscellaneous/Others;MORTH
625;Compensatory ground appointment;MORTH
626;Pending any type of Bill dues for payment;MORTH
627;Issues related to promotion;MORTH
628;Transfer/Posting;MORTH
629;Misbehaviour/Harassment by any officer/staff;MORTH
630;Allegation of Corruption/Malpratices;MORTH
631;Others;MORTH
632;Pension Not Started/Pension Stopped;MORTH
633;Revision of Pension;MORTH
634;Miscalculation in Pension;MORTH
635;Adding beneficiary in PPO;MORTH
636;Others;MORTH
637;Quality of National Highways below par;MORTH
638;Construction of new National Highways;MORTH
639;Others;MORTH
640;Land Acquisition related;MORTH
641;Acquired Land Compensation Related;MORTH
642;Others;MORTH
643;Fastag/Toll collection Related;MORTH
644;Wayside Amenities;MORTH
645;Others;MORTH
646;Road Transport;MORTH
647;Road Safety Schemes Related;MORTH
648;Others;MORTH
649;Tolls TOLLW;MORTH
650;Land Acquisation;MORTH
651;MVL (Motor Vehicle Legislation) MVLRT;MORTH
652;Transport TPTRT;MORTH
653;Others;MORTH
654;General Related to Policies/Act/Rules governed by MoRTH;MORTH
655;Others;MORTH
656;Health and Family Welfare;DHLTH
657;Hospitals;DHLTH
658;Medicines;DHLTH
659;CGHS Health Centres;DHLTH
660;Medical Education;DHLTH
661;Financial Assistance for Medical Treatment;DHLTH
662;Health Schemes;DHLTH
663;Public Health;DHLTH
664;Food Regulation;DHLTH
665;Online Health Services;DHLTH
666;Policy Matters;DHLTH
667;MoHFW Employee Related;DHLTH
668;Other;DHLTH
669;AIIMS;DHLTH
670;RML Hospital;DHLTH
671;Safdarjung Hospital;DHLTH
672;LHMC & Smt. S.K. Hospital;DHLTH
673;KalavatiSaran Hospital;DHLTH
674;Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry;DHLTH
675;Postgraduate Institute of Medical Education and Research, Chandigarh;DHLTH
676;North East Institutions;DHLTH
677;Other Hospitals;DHLTH
678;AIIMS New Delhi;DHLTH
679;AIIMS Bhubaneswar;DHLTH
680;AIIMS Jodhpur;DHLTH
681;AIIMS Patna;DHLTH
682;AIIMS Raipur;DHLTH
683;AIIMS Rishikesh;DHLTH
684;Other AIIMS;DHLTH
685;Patient Care;DHLTH
686;Students Related;DHLTH
687;Recruitment Related;DHLTH
688;Procurement Related;DHLTH
689;Other;DHLTH
690;Patient Care;DHLTH
691;Students Related;DHLTH
692;Recruitment Related;DHLTH
693;Procurement Related;DHLTH
694;Other;DHLTH
695;Patient Care;DHLTH
696;Students Related;DHLTH
697;Recruitment Related;DHLTH
698;Procurement Related;DHLTH
699;Other;DHLTH
700;Patient Care;DHLTH
701;Students Related;DHLTH
702;Recruitment Related;DHLTH
703;Procurement Related;DHLTH
704;Other;DHLTH
705;Patient Care;DHLTH
706;Students Related;DHLTH
707;Recruitment Related;DHLTH
708;Procurement Related;DHLTH
709;Other;DHLTH
710;Patient Care;DHLTH
711;Students Related;DHLTH
712;Recruitment Related;DHLTH
713;Procurement Related;DHLTH
714;Other;DHLTH
715;Patient Care;DHLTH
716;Students Related;DHLTH
717;Recruitment Related;DHLTH
718;Procurement Related;DHLTH
719;Other;DHLTH
720;Deficiency in treatment;DHLTH
721;Non-availability of appointment;DHLTH
722;Long waiting period;DHLTH
723;Misbehaviour by staff;DHLTH
724;Insufficient space in waiting area;DHLTH
725;Lack of facilities in OPD;DHLTH
726;Financial difficulties;DHLTH
727;Other;DHLTH
728;Deficiency in treatment;DHLTH
729;Non-availability of appointment;DHLTH
730;Long waiting period;DHLTH
731;Misbehaviour by staff;DHLTH
732;Insufficient space in waiting area;DHLTH
733;Lack of facilities in OPD;DHLTH
734;Financial difficulties;DHLTH
735;Other;DHLTH
736;Deficiency in treatment;DHLTH
737;Non-availability of appointment;DHLTH
738;Long waiting period;DHLTH
739;Misbehaviour by staff;DHLTH
740;Insufficient space in waiting area;DHLTH
741;Lack of facilities in OPD;DHLTH
742;Financial difficulties;DHLTH
743;Other;DHLTH
744;Deficiency in treatment;DHLTH
745;Non-availability of appointment;DHLTH
746;Long waiting period;DHLTH
747;Misbehaviour by staff;DHLTH
748;Insufficient space in waiting area;DHLTH
749;Lack of facilities in OPD;DHLTH
750;Financial difficulties;DHLTH
751;Other;DHLTH
